188,364,TEKNIK AUDIO VIDIO
189,364,TEKNIK KOMPUTER DAN JARINGAN
190,364,TEKNIK INSTALASI TENAGA LISTRIK
191,364,TEKNIK GAMBAR
192,365,TEKNIK KENDARAAN RINGAN
193,365,TEKNIK KOMPUTER DAN JARINGAN
194,365,TEKNIK INSTALASI TENAGA LISTRIK
195,365,TEKNIK PEMESINAN
196,365,USAHA PERJALAN WISATA
197,366,- Nautika Kapal Penangkap Ikan 
198,366,- Agribisnis Perikanan
199,366,- Teknik Otomotif
200,366,- Teknik Komputer dan Informatika
201,366,- Keperawatan
202,366,- Perhotelan dan Jasa Pariwisata
203,366,- Teknologi Konstruksi dan Properti
204,367,- Teknik Komputer dan Jaringan (TKJ)
205,367,- Rekayasa Perangkat Lunak
206,367,- Teknik Kendaraan Ringan Otomotif
207,367,- Teknik dan Bisnis Sepeda Motor
208,367,- Bisnis Daring dan Pemasaran 
209,368,- Teknik Komputer dan Jaringan (TKJ)
210,368,- Agribisnis Tanaman Pangan dan Holikultura (TPHP)
211,368,- Teknik Produksi Hasil Pertanian (TPHP)
212,368,- Pemasaran (PMS)
213,368,- Teknik Sepeda Motor (TSM)
214,369,- Nautika Kapal Penangkap Ikan (NKPI)
215,369,- Agribisnis Perikanan (API)
216,369,- Teknik Komputer dan Jaringan (TKJ)
217,369,- Otomatisasi dan Tata Kelola Perkantoran (OTKP)
218,369,- Teknik Otomotif Kendaraan Ringan (TOKR)
219,370,- Teknik Komputer dan Jaringan (TKJ)
220,370,- Teknik Bisnis Sepeda Motor
221,371,- Agribisnis Tanaman Perkebunan (ATP)
222,371,- Teknik Komputer dan Jeringan (TKJ)
223,371,- Teknik Kendaraan Ringan (TKR)
224,371,- Teknik Instalasi Tenaga Listrik (TITL)
225,371,- Asisten Keperawatan
226,372, - Teknik dan Bisnis Sepeda Motor 
227,372,- Teknik komputer dan jaringan
228,372,- Akuntansi dan Keuangan Lembaga
229,373,- Teknik Komputer dan Jaringan (TKR)
230,373,- Tata Busana
231,373,- Tata Boga
232,373,- Administrasi Perkantoran
233,373,- Akuntansi 
234,373,- Pemasaran
235,374,- Agribisnis Tanaman Pangan & Holtikultura (ATPH)
236,374,- Teknik Instalasi Tenaga Listrik (TITL)
237,374,- Teknik Komputer dan Jaringan (TKJ)
238,374,- Tata Busana
239,375,- Agribisnis Perikanan (AGP)
240,375,- Teknik Komputer dan Jaringan (TKJ)
241,375,- Teknik Kendaraan Ringan (TKR)
242,375,- Nautika Kapal Penangkap Ikan (NKPI)
243,375,- Administrasi Perkantoran (AP)
244,376,- Agribisnis Tanaman Pangan & Holtikultura (ATPH)
245,376,- Teknik Komputer dan Jaringan (TKJ)
246,376,- Teknik Instalasi Pemanfaatan Tenaga Listrik (TIPTL)
247,376,- Teknologi Pengolahan Hasil Pertanian (TPHP)
248,377,- Teknik Komputer dan Jaringan (TKJ)
249,377,- Agribisnis Tanaman Pangan & Holtikultura (ATPH)
250,377,- Teknik Bisnis Sepeda Motor (TBSM)
251,378,- Teknik Komputer dan Jaringan (TKJ)
252,378,- Agribisnis Pengelolaan Hasil Pertanian (APHP)
253,378,- Agribisnis Tanaman Pangan dan Holtikultura (ATPH)
