123,123,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
124,124,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
125,125,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
126,126,2018/2019,11,35,192.50,77.00,77.00,19.25,19.25,385.00
127,127,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
128,128,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
129,129,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
130,130,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
131,131,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
132,132,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
133,133,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
134,134,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
135,135,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
136,136,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
137,137,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
138,138,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
139,139,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
140,140,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
141,141,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
142,142,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
143,143,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
144,144,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
145,145,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
146,146,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
147,147,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
148,148,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
149,149,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
150,150,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
151,151,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
152,152,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
153,153,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
154,154,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
155,155,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
156,156,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
157,157,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
158,158,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
159,159,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
160,160,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
161,161,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
162,162,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
163,163,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
164,164,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
165,165,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
166,166,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
167,167,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
168,168,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
169,169,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
170,170,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
171,171,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
172,172,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
173,173,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
174,174,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
175,175,2018/2019,11,35,192.50,77.00,77.00,19.25,19.25,385.00
176,176,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
177,177,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
178,178,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
179,179,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
180,180,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
181,181,2018/2019,11,35,192.50,77.00,77.00,19.25,19.25,385.00
182,182,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
183,183,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
184,184,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
185,185,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
186,186,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
187,187,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
188,188,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
189,189,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
190,190,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
191,191,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
192,192,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
193,193,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
194,194,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
195,195,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
196,196,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
197,197,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
198,198,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
199,199,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
200,200,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
201,201,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
202,202,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
203,203,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
204,204,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
205,205,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
206,206,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
207,207,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
208,208,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
209,209,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
210,210,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
211,211,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
212,212,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
213,213,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
214,214,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
215,215,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
216,216,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
217,217,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
218,218,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
219,219,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
